bins,z_score,p_val,significant
0,3.7031176282662654,0.00021296607486092535,True
1,-12.347324133097832,5.03586792330037e-35,True
2,3.7031176282662654,0.00021296607486092535,True
3,1.002006020070253,0.31634068532105364,False
4,4.27087149743931,1.947105824033851e-05,True
5,1.419904585617662,0.15563546075803855,False
6,-0.34503277967117746,0.7300697275800418,False
7,3.8510399211870388,0.0001176173222478969,True
8,1.002006020070253,0.31634068532105364,False
9,1.419904585617662,0.15563546075803855,False
10,1.002006020070253,0.31634068532105364,False
11,1.002006020070253,0.31634068532105364,False
12,2.0161945963637797,0.04377963126225312,True
13,1.002006020070253,0.31634068532105364,False
14,1.419904585617662,0.15563546075803855,False
15,1.002006020070253,0.31634068532105364,False
16,4.134491152973616,3.5574195649950636e-05,True
17,2.0161945963637797,0.04377963126225312,True
18,1.002006020070253,0.31634068532105364,False
19,2.2587697572631282,0.023897710679510104,True
